115 1504083224 0,342557 0,800000 0,340407 0,347139 0,093882
121 1504083224 0,180189 0,800000 0,178537 0,182036 0,025976
136 1504083224 0,175263 0,800000 0,173663 0,176570 0,024575
127 1504083224 0,680389 0,800000 0,671093 0,683836 0,370366
109 1504083224 0,129556 0,800000 0,127535 0,132270 0,013431
124 1504083224 0,000211 0,800000 0,000107 0,000383 0,000000
130 1504083224 0,194604 0,800000 0,190410 0,198962 0,030307
133 1504083224 0,348348 0,200000 0,348348 0,348348 0,024269
118 1504083224 0,171296 0,200000 0,171296 0,171296 0,005868
112 1504083224 0,680357 0,800000 0,671062 0,683805 0,370331
139 1504083224 0,129303 0,200000 0,129303 0,129303 0,003344
115 1504083225 0,342557 0,800000 0,340407 0,347139 0,093882
121 1504083225 0,180189 0,800000 0,178537 0,182036 0,025976
136 1504083225 0,175263 0,800000 0,173663 0,176570 0,024575
127 1504083225 0,680389 0,800000 0,671093 0,683836 0,370366
109 1504083225 0,129556 0,800000 0,127535 0,132270 0,013431
124 1504083225 0,000211 0,800000 0,000107 0,000383 0,000000
130 1504083225 0,194604 0,800000 0,190410 0,198962 0,030307
133 1504083225 0,348348 0,200000 0,348348 0,348348 0,024269
118 1504083225 0,171296 0,200000 0,171296 0,171296 0,005868
112 1504083225 0,680357 0,800000 0,671062 0,683805 0,370331
139 1504083225 0,129303 0,200000 0,129303 0,129303 0,003344
115 1504083226 0,342557 0,800000 0,340407 0,347139 0,093882
121 1504083226 0,180189 0,800000 0,178537 0,182036 0,025976
136 1504083226 0,175263 0,800000 0,173663 0,176570 0,024575
127 1504083226 0,680389 0,800000 0,671093 0,683836 0,370366
109 1504083226 0,129556 0,800000 0,127535 0,132270 0,013431
124 1504083226 0,000211 0,800000 0,000107 0,000383 0,000000
130 1504083226 0,194604 0,800000 0,190410 0,198962 0,030307
133 1504083226 0,348348 0,200000 0,348348 0,348348 0,024269
118 1504083226 0,171296 0,200000 0,171296 0,171296 0,005868
112 1504083226 0,680357 0,800000 0,671062 0,683805 0,370331
139 1504083226 0,129303 0,200000 0,129303 0,129303 0,003344
115 1504083227 0,342557 0,800000 0,340407 0,347139 0,093882
121 1504083227 0,180189 0,800000 0,178537 0,182036 0,025976
136 1504083227 0,175263 0,800000 0,173663 0,176570 0,024575
127 1504083227 0,680389 0,800000 0,671093 0,683836 0,370366
109 1504083227 0,129556 0,800000 0,127535 0,132270 0,013431
124 1504083227 0,000211 0,800000 0,000107 0,000383 0,000000
130 1504083227 0,194604 0,800000 0,190410 0,198962 0,030307
133 1504083227 0,348348 0,200000 0,348348 0,348348 0,024269
118 1504083227 0,171296 0,200000 0,171296 0,171296 0,005868
112 1504083227 0,680357 0,800000 0,671062 0,683805 0,370331
139 1504083227 0,129303 0,200000 0,129303 0,129303 0,003344
115 1504083228 0,342557 0,800000 0,340407 0,347139 0,093882
121 1504083228 0,180189 0,800000 0,178537 0,182036 0,025976
136 1504083228 0,175263 0,800000 0,173663 0,176570 0,024575
127 1504083228 0,680389 0,800000 0,671093 0,683836 0,370366
109 1504083228 0,129556 0,800000 0,127535 0,132270 0,013431
124 1504083228 0,000211 0,800000 0,000107 0,000383 0,000000
130 1504083228 0,194604 0,800000 0,190410 0,198962 0,030307
133 1504083228 0,348348 0,200000 0,348348 0,348348 0,024269
118 1504083228 0,171296 0,200000 0,171296 0,171296 0,005868
112 1504083228 0,680357 0,800000 0,671062 0,683805 0,370331
139 1504083228 0,129303 0,200000 0,129303 0,129303 0,003344
115 1504083229 0,344149 0,800000 0,336262 0,352658 0,094778
121 1504083229 0,177270 1,000000 0,175161 0,179108 0,031427
136 1504083229 0,178049 1,000000 0,175070 0,181348 0,031707
127 1504083229 0,684741 1,000000 0,676503 0,702210 0,468952
109 1504083229 0,128108 1,000000 0,125960 0,130208 0,016414
124 1504083229 0,000164 0,800000 0,000113 0,000226 0,000000
130 1504083229 0,200430 1,000000 0,193351 0,215184 0,040232
112 1504083229 0,684705 1,000000 0,676474 0,702180 0,468903
115 1504083230 0,344149 0,800000 0,336262 0,352658 0,094778
121 1504083230 0,177270 1,000000 0,175161 0,179108 0,031427
136 1504083230 0,178049 1,000000 0,175070 0,181348 0,031707
127 1504083230 0,684741 1,000000 0,676503 0,702210 0,468952
109 1504083230 0,128108 1,000000 0,125960 0,130208 0,016414
124 1504083230 0,000164 0,800000 0,000113 0,000226 0,000000
130 1504083230 0,200430 1,000000 0,193351 0,215184 0,040232
112 1504083230 0,684705 1,000000 0,676474 0,702180 0,468903
115 1504083231 0,344149 0,800000 0,336262 0,352658 0,094778
121 1504083231 0,177270 1,000000 0,175161 0,179108 0,031427
136 1504083231 0,178049 1,000000 0,175070 0,181348 0,031707
127 1504083231 0,684741 1,000000 0,676503 0,702210 0,468952
109 1504083231 0,128108 1,000000 0,125960 0,130208 0,016414
124 1504083231 0,000164 0,800000 0,000113 0,000226 0,000000
130 1504083231 0,200430 1,000000 0,193351 0,215184 0,040232
112 1504083231 0,684705 1,000000 0,676474 0,702180 0,468903
115 1504083232 0,344149 0,800000 0,336262 0,352658 0,094778
121 1504083232 0,177270 1,000000 0,175161 0,179108 0,031427
136 1504083232 0,178049 1,000000 0,175070 0,181348 0,031707
127 1504083232 0,684741 1,000000 0,676503 0,702210 0,468952
109 1504083232 0,128108 1,000000 0,125960 0,130208 0,016414
124 1504083232 0,000164 0,800000 0,000113 0,000226 0,000000
130 1504083232 0,200430 1,000000 0,193351 0,215184 0,040232
112 1504083232 0,684705 1,000000 0,676474 0,702180 0,468903
