144 1504083224 22,000000 -1,000000 -101,000000 0,000000 0,000000
144 1504083225 22,000000 -1,000000 -101,000000 0,000000 0,000000
144 1504083226 22,000000 -1,000000 -101,000000 0,000000 0,000000
144 1504083227 22,000000 -1,000000 -101,000000 0,000000 0,000000
144 1504083228 22,000000 -1,000000 -101,000000 0,000000 0,000000
144 1504083229 18,400000 -1,000000 -101,000000 0,000000 0,000000
144 1504083230 18,400000 -1,000000 -101,000000 0,000000 0,000000
144 1504083231 18,400000 -1,000000 -101,000000 0,000000 0,000000
144 1504083232 18,400000 -1,000000 -101,000000 0,000000 0,000000
144 1504083233 18,400000 -1,000000 -101,000000 0,000000 0,000000
144 1504083234 31,200000 -1,000000 -101,000000 0,000000 0,000000
144 1504083235 31,200000 -1,000000 -101,000000 0,000000 0,000000
144 1504083236 31,200000 -1,000000 -101,000000 0,000000 0,000000
144 1504083237 31,200000 -1,000000 -101,000000 0,000000 0,000000
144 1504083238 31,200000 -1,000000 -101,000000 0,000000 0,000000
144 1504083239 36,800000 -1,000000 -101,000000 0,000000 0,000000
144 1504083240 36,800000 -1,000000 -101,000000 0,000000 0,000000
144 1504083241 36,800000 -1,000000 -101,000000 0,000000 0,000000
144 1504083242 36,800000 -1,000000 -101,000000 0,000000 0,000000
144 1504083243 36,800000 -1,000000 -101,000000 0,000000 0,000000
144 1504083244 32,200000 -1,000000 -101,000000 0,000000 0,000000
144 1504083245 32,200000 -1,000000 -101,000000 0,000000 0,000000
144 1504083246 32,200000 -1,000000 -101,000000 0,000000 0,000000
144 1504083247 32,200000 -1,000000 -101,000000 0,000000 0,000000
144 1504083248 32,200000 -1,000000 -101,000000 0,000000 0,000000
144 1504083249 49,600000 -1,000000 -101,000000 0,000000 0,000000
144 1504083250 49,600000 -1,000000 -101,000000 0,000000 0,000000
144 1504083251 49,600000 -1,000000 -101,000000 0,000000 0,000000
144 1504083252 49,600000 -1,000000 -101,000000 0,000000 0,000000
144 1504083253 49,600000 -1,000000 -101,000000 0,000000 0,000000
144 1504083254 46,000000 -1,000000 -101,000000 0,000000 0,000000
144 1504083255 46,000000 -1,000000 -101,000000 0,000000 0,000000
144 1504083256 46,000000 -1,000000 -101,000000 0,000000 0,000000
144 1504083257 46,000000 -1,000000 -101,000000 0,000000 0,000000
144 1504083258 46,000000 -1,000000 -101,000000 0,000000 0,000000
144 1504083259 49,600000 -1,000000 -101,000000 0,000000 0,000000
144 1504083260 49,600000 -1,000000 -101,000000 0,000000 0,000000
144 1504083261 49,600000 -1,000000 -101,000000 0,000000 0,000000
144 1504083262 49,600000 -1,000000 -101,000000 0,000000 0,000000
144 1504083263 49,600000 -1,000000 -101,000000 0,000000 0,000000
144 1504083264 50,600000 -1,000000 -101,000000 0,000000 0,000000
144 1504083265 50,600000 -1,000000 -101,000000 0,000000 0,000000
144 1504083266 50,600000 -1,000000 -101,000000 0,000000 0,000000
144 1504083267 50,600000 -1,000000 -101,000000 0,000000 0,000000
144 1504083268 50,600000 -1,000000 -101,000000 0,000000 0,000000
144 1504083269 46,000000 -1,000000 -101,000000 0,000000 0,000000
144 1504083270 46,000000 -1,000000 -101,000000 0,000000 0,000000
144 1504083271 46,000000 -1,000000 -101,000000 0,000000 0,000000
144 1504083272 46,000000 -1,000000 -101,000000 0,000000 0,000000
144 1504083273 46,000000 -1,000000 -101,000000 0,000000 0,000000
144 1504083274 58,800000 -1,000000 -101,000000 0,000000 0,000000
144 1504083275 58,800000 -1,000000 -101,000000 0,000000 0,000000
144 1504083276 58,800000 -1,000000 -101,000000 0,000000 0,000000
144 1504083277 58,800000 -1,000000 -101,000000 0,000000 0,000000
144 1504083278 58,800000 -1,000000 -101,000000 0,000000 0,000000
144 1504083279 46,000000 -1,000000 -101,000000 0,000000 0,000000
144 1504083280 46,000000 -1,000000 -101,000000 0,000000 0,000000
144 1504083281 46,000000 -1,000000 -101,000000 0,000000 0,000000
144 1504083282 46,000000 -1,000000 -101,000000 0,000000 0,000000
144 1504083283 46,000000 -1,000000 -101,000000 0,000000 0,000000
144 1504083284 46,000000 -1,000000 -101,000000 0,000000 0,000000
144 1504083285 46,000000 -1,000000 -101,000000 0,000000 0,000000
144 1504083286 46,000000 -1,000000 -101,000000 0,000000 0,000000
144 1504083287 46,000000 -1,000000 -101,000000 0,000000 0,000000
144 1504083288 46,000000 -1,000000 -101,000000 0,000000 0,000000
144 1504083289 46,000000 -1,000000 -101,000000 0,000000 0,000000
144 1504083290 46,000000 -1,000000 -101,000000 0,000000 0,000000
144 1504083291 46,000000 -1,000000 -101,000000 0,000000 0,000000
144 1504083292 46,000000 -1,000000 -101,000000 0,000000 0,000000
144 1504083293 46,000000 -1,000000 -101,000000 0,000000 0,000000
144 1504083294 50,600000 -1,000000 -101,000000 0,000000 0,000000
144 1504083295 50,600000 -1,000000 -101,000000 0,000000 0,000000
144 1504083296 50,600000 -1,000000 -101,000000 0,000000 0,000000
144 1504083297 50,600000 -1,000000 -101,000000 0,000000 0,000000
144 1504083298 50,600000 -1,000000 -101,000000 0,000000 0,000000
144 1504083299 46,000000 -1,000000 -101,000000 0,000000 0,000000
144 1504083300 46,000000 -1,000000 -101,000000 0,000000 0,000000
144 1504083301 46,000000 -1,000000 -101,000000 0,000000 0,000000
144 1504083302 46,000000 -1,000000 -101,000000 0,000000 0,000000
144 1504083303 46,000000 -1,000000 -101,000000 0,000000 0,000000
144 1504083304 41,400000 -1,000000 -101,000000 0,000000 0,000000
144 1504083305 41,400000 -1,000000 -101,000000 0,000000 0,000000
144 1504083306 41,400000 -1,000000 -101,000000 0,000000 0,000000
144 1504083307 41,400000 -1,000000 -101,000000 0,000000 0,000000
144 1504083308 41,400000 -1,000000 -101,000000 0,000000 0,000000
144 1504083309 46,000000 -1,000000 -101,000000 0,000000 0,000000
144 1504083310 46,000000 -1,000000 -101,000000 0,000000 0,000000
144 1504083311 46,000000 -1,000000 -101,000000 0,000000 0,000000
144 1504083312 46,000000 -1,000000 -101,000000 0,000000 0,000000
144 1504083313 46,000000 -1,000000 -101,000000 0,000000 0,000000
144 1504083314 41,400000 -1,000000 -101,000000 0,000000 0,000000
144 1504083315 41,400000 -1,000000 -101,000000 0,000000 0,000000
144 1504083316 41,400000 -1,000000 -101,000000 0,000000 0,000000
144 1504083317 41,400000 -1,000000 -101,000000 0,000000 0,000000
144 1504083318 41,400000 -1,000000 -101,000000 0,000000 0,000000
144 1504083319 46,000000 -1,000000 -101,000000 0,000000 0,000000
144 1504083320 46,000000 -1,000000 -101,000000 0,000000 0,000000
144 1504083321 46,000000 -1,000000 -101,000000 0,000000 0,000000
144 1504083322 46,000000 -1,000000 -101,000000 0,000000 0,000000
144 1504083323 46,000000 -1,000000 -101,000000 0,000000 0,000000
144 1504083324 50,600000 -1,000000 -101,000000 0,000000 0,000000
144 1504083325 50,600000 -1,000000 -101,000000 0,000000 0,000000
144 1504083326 50,600000 -1,000000 -101,000000 0,000000 0,000000
144 1504083327 50,600000 -1,000000 -101,000000 0,000000 0,000000
144 1504083328 50,600000 -1,000000 -101,000000 0,000000 0,000000
144 1504083329 13,800000 -1,000000 -101,000000 0,000000 0,000000
144 1504083330 13,800000 -1,000000 -101,000000 0,000000 0,000000
144 1504083331 13,800000 -1,000000 -101,000000 0,000000 0,000000
144 1504083332 13,800000 -1,000000 -101,000000 0,000000 0,000000
144 1504083333 13,800000 -1,000000 -101,000000 0,000000 0,000000
144 1504083334 16,000000 -1,000000 -101,000000 0,000000 0,000000
144 1504083335 16,000000 -1,000000 -101,000000 0,000000 0,000000
144 1504083336 16,000000 -1,000000 -101,000000 0,000000 0,000000
144 1504083337 16,000000 -1,000000 -101,000000 0,000000 0,000000
144 1504083338 16,000000 -1,000000 -101,000000 0,000000 0,000000
144 1504083339 39,200000 -1,000000 -101,000000 0,000000 0,000000
144 1504083340 39,200000 -1,000000 -101,000000 0,000000 0,000000
144 1504083341 39,200000 -1,000000 -101,000000 0,000000 0,000000
144 1504083342 39,200000 -1,000000 -101,000000 0,000000 0,000000
144 1504083343 39,200000 -1,000000 -101,000000 0,000000 0,000000
144 1504083344 41,400000 -1,000000 -101,000000 0,000000 0,000000
144 1504083345 41,400000 -1,000000 -101,000000 0,000000 0,000000
144 1504083346 41,400000 -1,000000 -101,000000 0,000000 0,000000
144 1504083347 41,400000 -1,000000 -101,000000 0,000000 0,000000
144 1504083348 41,400000 -1,000000 -101,000000 0,000000 0,000000
144 1504083349 50,600000 -1,000000 -101,000000 0,000000 0,000000
144 1504083350 50,600000 -1,000000 -101,000000 0,000000 0,000000
144 1504083351 50,600000 -1,000000 -101,000000 0,000000 0,000000
144 1504083352 50,600000 -1,000000 -101,000000 0,000000 0,000000
144 1504083353 50,600000 -1,000000 -101,000000 0,000000 0,000000
144 1504083354 46,000000 -1,000000 -101,000000 0,000000 0,000000
144 1504083355 46,000000 -1,000000 -101,000000 0,000000 0,000000
144 1504083356 46,000000 -1,000000 -101,000000 0,000000 0,000000
144 1504083357 46,000000 -1,000000 -101,000000 0,000000 0,000000
144 1504083358 46,000000 -1,000000 -101,000000 0,000000 0,000000
144 1504083359 50,600000 -1,000000 -101,000000 0,000000 0,000000
144 1504083360 50,600000 -1,000000 -101,000000 0,000000 0,000000
144 1504083361 50,600000 -1,000000 -101,000000 0,000000 0,000000
144 1504083362 50,600000 -1,000000 -101,000000 0,000000 0,000000
144 1504083363 50,600000 -1,000000 -101,000000 0,000000 0,000000
144 1504083364 46,000000 -1,000000 -101,000000 0,000000 0,000000
144 1504083365 46,000000 -1,000000 -101,000000 0,000000 0,000000
144 1504083366 46,000000 -1,000000 -101,000000 0,000000 0,000000
144 1504083367 46,000000 -1,000000 -101,000000 0,000000 0,000000
144 1504083368 46,000000 -1,000000 -101,000000 0,000000 0,000000
144 1504083369 41,400000 -1,000000 -101,000000 0,000000 0,000000
144 1504083370 41,400000 -1,000000 -101,000000 0,000000 0,000000
144 1504083371 41,400000 -1,000000 -101,000000 0,000000 0,000000
144 1504083372 41,400000 -1,000000 -101,000000 0,000000 0,000000
144 1504083373 41,400000 -1,000000 -101,000000 0,000000 0,000000
144 1504083374 55,200000 -1,000000 -101,000000 0,000000 0,000000
144 1504083375 55,200000 -1,000000 -101,000000 0,000000 0,000000
144 1504083376 55,200000 -1,000000 -101,000000 0,000000 0,000000
