1504094024	0	1504094024
1504094024	1	1504094036
1504094036	2	1504094048
1504094048	3	1504094061
1504094061	4	1504094072
1504094072	5	1504094254
1504094254	6	1504094265
1504094265	7	1504094277
1504094277	8	1504094292
1504094292	9	1504094301
1504094301	10	1504094483
1504094483	11	1504094501
1504094501	12	1504094509
1504094509	13	1504094521
1504094521	14	1504094537
1504094537	15	1504094714
1504094714	16	1504094727
1504094727	17	1504094740
1504094740	18	1504094752
1504094752	19	1504094767
1504094767	20	1504094954
1504094954	19	1504094958
1504094958	18	1504094973
1504094973	17	1504094977
1504094977	16	1504094999
1504094999	15	1504095007
1504095007	14	1504095015
1504095015	13	1504095022
1504095022	12	1504095037
1504095037	11	1504095048
1504095048	10	1504095061
1504095061	9	1504095073
1504095073	8	1504095088
1504095088	7	1504095095
1504095095	6	1504095107
1504095107	5	1504095120
1504095120	4	1504095130
1504095130	3	1504095141
1504095141	2	1504095154
1504095154	1	1504095166
