offline_datapoint_0 1504083224 7642,000
offline_datapoint_1 1504083222 11,068
offline_datapoint_2 1504083222 0,047
offline_datapoint_0 1504083227 7643,000
offline_datapoint_1 1504083225 27,481
offline_datapoint_2 1504083225 0,167
offline_datapoint_0 1504083230 7635,000
offline_datapoint_1 1504083228 28,267
offline_datapoint_2 1504083228 0,161
offline_datapoint_0 1504083233 7641,000
offline_datapoint_1 1504083231 28,325
offline_datapoint_2 1504083231 0,073
offline_datapoint_0 1504083236 7618,000
offline_datapoint_1 1504083234 35,216
offline_datapoint_2 1504083234 0,077
offline_datapoint_0 1504083239 7612,000
offline_datapoint_1 1504083237 52,347
offline_datapoint_2 1504083237 0,041
offline_datapoint_0 1504083242 7607,000
offline_datapoint_1 1504083240 55,558
offline_datapoint_2 1504083240 0,103
offline_datapoint_0 1504083245 7611,000
offline_datapoint_1 1504083243 57,603
offline_datapoint_2 1504083243 0,042
offline_datapoint_0 1504083248 7611,000
offline_datapoint_1 1504083246 60,611
offline_datapoint_2 1504083246 0,040
offline_datapoint_0 1504083251 7607,000
offline_datapoint_1 1504083249 82,120
offline_datapoint_2 1504083249 0,070
offline_datapoint_0 1504083254 7605,000
offline_datapoint_1 1504083252 80,837
offline_datapoint_2 1504083252 0,066
offline_datapoint_0 1504083257 7606,000
offline_datapoint_1 1504083255 83,308
offline_datapoint_2 1504083255 0,083
offline_datapoint_0 1504083260 7603,000
offline_datapoint_1 1504083258 84,851
offline_datapoint_2 1504083258 0,090
offline_datapoint_0 1504083263 7599,000
offline_datapoint_1 1504083261 95,844
offline_datapoint_2 1504083261 0,060
offline_datapoint_0 1504083266 7593,000
offline_datapoint_1 1504083264 98,445
offline_datapoint_2 1504083264 0,073
offline_datapoint_0 1504083269 7600,000
offline_datapoint_1 1504083267 96,114
offline_datapoint_2 1504083267 0,090
offline_datapoint_0 1504083272 7596,000
offline_datapoint_1 1504083270 97,283
offline_datapoint_2 1504083270 0,086
offline_datapoint_0 1504083275 7603,000
offline_datapoint_1 1504083273 99,741
offline_datapoint_2 1504083273 0,050
offline_datapoint_0 1504083278 7606,000
offline_datapoint_1 1504083276 100,000
offline_datapoint_2 1504083276 0,053
offline_datapoint_0 1504083281 7605,000
offline_datapoint_1 1504083279 99,741
offline_datapoint_2 1504083279 0,048
offline_datapoint_0 1504083284 7606,000
offline_datapoint_1 1504083282 100,000
offline_datapoint_2 1504083282 0,051
offline_datapoint_0 1504083287 7597,000
